TRAINING RESULTS - ROUND 2
==================================================

Final Metrics:
  Final Train Loss:     0.7608
  Final Val Loss:       0.8043
  Final Train IoU:      0.4378
  Final Val IoU:        0.3768
  Final Train Dice:     0.5684
  Final Val Dice:       0.5387
  Final Train Accuracy: 0.7282
  Final Val Accuracy:   0.7165
==================================================

Best Results:
  Best Val IoU:      0.3771 (Epoch 57)
  Best Val Dice:     0.5391 (Epoch 57)
  Best Val Accuracy: 0.7186 (Epoch 29)
  Lowest Val Loss:   0.8032 (Epoch 11)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.7721       0.8060       0.4338       0.3745       0.5637       0.5357       0.7259       0.7165      
2        0.7717       0.8052       0.4330       0.3746       0.5636       0.5359       0.7257       0.7162      
3        0.7709       0.8050       0.4324       0.3739       0.5621       0.5349       0.7260       0.7166      
4        0.7694       0.8047       0.4343       0.3749       0.5643       0.5363       0.7263       0.7166      
5        0.7698       0.8042       0.4318       0.3729       0.5619       0.5341       0.7252       0.7159      
6        0.7692       0.8045       0.4342       0.3736       0.5643       0.5347       0.7255       0.7159      
7        0.7698       0.8053       0.4330       0.3740       0.5628       0.5349       0.7262       0.7167      
8        0.7690       0.8043       0.4334       0.3749       0.5628       0.5362       0.7264       0.7166      
9        0.7685       0.8037       0.4346       0.3744       0.5649       0.5359       0.7253       0.7155      
10       0.7682       0.8037       0.4348       0.3743       0.5645       0.5358       0.7254       0.7154      
11       0.7678       0.8032       0.4346       0.3748       0.5645       0.5358       0.7261       0.7162      
12       0.7677       0.8034       0.4345       0.3748       0.5647       0.5362       0.7263       0.7163      
13       0.7677       0.8041       0.4324       0.3745       0.5635       0.5359       0.7266       0.7166      
14       0.7674       0.8034       0.4353       0.3761       0.5663       0.5377       0.7271       0.7170      
15       0.7671       0.8038       0.4318       0.3738       0.5625       0.5353       0.7247       0.7147      
16       0.7664       0.8037       0.4354       0.3750       0.5656       0.5366       0.7262       0.7161      
17       0.7658       0.8038       0.4347       0.3755       0.5648       0.5371       0.7268       0.7167      
